UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.57987, 0.186501, 0.0105536, -0.00496772, 0.0106082, -0.0335488, 0.00750276
S12_, 1.28884, 0.169811, 0.0106725, -0.0318021, 0.010712, -0.297866, 0.00758009
S18_, 1.27103, 0.137803, 0.0107839, -0.0275289, 0.0108207, -0.216722, 0.00765631
S12S18_, 1.45572, 0.153948, 0.00758582, -0.0296602, 0.00761281, -0.257631, 0.00538678
S0S12S18_, 1.27047, 0.164939, 0.00615989, -0.0215712, 0.00618518, -0.181624, 0.00437588
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.18702, 0.0154041, 0.018415, 0.176713, 0.0183852, -0.0318041, 0.0130315
S12_, 1.28319, 0.0319915, 0.018636, 0.167293, 0.0185749, -0.299561, 0.013176
S18_, 1.15226, 0.00872643, 0.0188016, 0.157062, 0.0187112, -0.254908, 0.0132805
S12S18_, 1.42771, 0.0204976, 0.0132364, 0.16237, 0.0131829, -0.277494, 0.00935393
S0S12S18_, 1.32327, 0.0127843, 0.0105803, 0.168571, 0.0105581, -0.176367, 0.00748839
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.57988, 0.21482, 0.0105536, -0.00495896, 0.0106082, -0.0335485, 0.00750276
S12_, 1.28884, 0.19813, 0.0106725, -0.0317936, 0.010712, -0.297865, 0.00758009
S18_, 1.27103, 0.166122, 0.0107839, -0.0275202, 0.0108207, -0.216722, 0.00765631
S12S18_, 1.45571, 0.182267, 0.00758582, -0.0296513, 0.00761281, -0.257631, 0.00538678
S0S12S18_, 1.27047, 0.193257, 0.00615989, -0.02156, 0.00618518, -0.181623, 0.00437588
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.18702, 0.0437232, 0.018415, 0.176721, 0.0183852, -0.031804, 0.0130315
S12_, 1.2832, 0.0603097, 0.018636, 0.167302, 0.0185749, -0.299561, 0.013176
S18_, 1.15225, 0.037045, 0.0188016, 0.157071, 0.0187112, -0.254908, 0.0132805
S12S18_, 1.4277, 0.048816, 0.0132364, 0.16238, 0.0131829, -0.277494, 0.00935393
