UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.57987, 0.186501, 0.0105536, -0.00496772, 0.0106082, -0.0335488, 0.00750276
S12_, 1.28884, 0.169811, 0.0106725, -0.0318021, 0.010712, -0.297866, 0.00758009
S18_, 1.27103, 0.137803, 0.0107839, -0.0275289, 0.0108207, -0.216722, 0.00765631
S12S18_, 1.45572, 0.153948, 0.00758582, -0.0296602, 0.00761281, -0.257631, 0.00538678
S0S12S18_, 1.27047, 0.164939, 0.00615989, -0.0215712, 0.00618518, -0.181624, 0.00437588
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.57988, 0.21482, 0.0105536, -0.00495896, 0.0106082, -0.0335485, 0.00750276
S12_, 1.28884, 0.19813, 0.0106725, -0.0317936, 0.010712, -0.297865, 0.00758009
S18_, 1.27103, 0.166122, 0.0107839, -0.0275202, 0.0108207, -0.216722, 0.00765631
S12S18_, 1.45571, 0.182267, 0.00758582, -0.0296513, 0.00761281, -0.257631, 0.00538678
S0S12S18_, 1.27047, 0.193257, 0.00615989, -0.02156, 0.00618518, -0.181623, 0.00437588
