UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.25261, 0.149653, 0.0121979, -0.0154116, 0.0122528, -0.164645, 0.00866663
S12_, 1.43167, 0.136776, 0.0123576, -0.0259432, 0.0123968, -0.40889, 0.00877176
S18_, 1.19422, 0.105453, 0.0124469, -0.011103, 0.0124881, -0.306076, 0.00883468
S12S18_, 1.52893, 0.121146, 0.00876979, -0.0184699, 0.00879819, -0.357888, 0.00622484
S0S12S18_, 1.14631, 0.130763, 0.00712072, -0.0177033, 0.00714683, -0.292214, 0.005056
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.25262, 0.177972, 0.0121979, -0.015403, 0.0122528, -0.164645, 0.00866663
S12_, 1.43165, 0.165095, 0.0123576, -0.0259347, 0.0123968, -0.40889, 0.00877176
S18_, 1.19422, 0.133772, 0.0124469, -0.0110944, 0.0124881, -0.306076, 0.00883468
S12S18_, 1.52891, 0.149465, 0.00876979, -0.0184612, 0.00879819, -0.357887, 0.00622484
S0S12S18_, 1.14631, 0.159082, 0.00712072, -0.0176946, 0.00714684, -0.292214, 0.005056
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.25261, 0.149653, 0.0121979, -0.0154116, 0.0122528, -0.164645, 0.00866663
S12_, 1.43167, 0.136776, 0.0123576, -0.0259432, 0.0123968, -0.40889, 0.00877176
S18_, 1.19422, 0.105453, 0.0124469, -0.011103, 0.0124881, -0.306076, 0.00883468
S12S18_, 1.52893, 0.121146, 0.00876979, -0.0184699, 0.00879819, -0.357888, 0.00622484
S0S12S18_, 1.14631, 0.130763, 0.00712072, -0.0177033, 0.00714683, -0.292214, 0.005056
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.25262, 0.178396, 0.0121979, -0.0154029, 0.0122528, -0.164645, 0.00866663
S12_, 1.43165, 0.165518, 0.0123576, -0.0259346, 0.0123968, -0.40889, 0.00877176
S18_, 1.19422, 0.134195, 0.0124469, -0.0110943, 0.0124881, -0.306076, 0.00883468
S12S18_, 1.52891, 0.149888, 0.00876979, -0.0184611, 0.00879819, -0.357887, 0.00622484
S0S12S18_, 1.14631, 0.159505, 0.00712072, -0.0176944, 0.00714684, -0.292214, 0.005056
Reading	../Plots/MC/dMu/5.4e-18/Plots/edmPlots_trackTruth_WORLD_250MeV_BQ.root 0x7fdcfaee6cb0
Getting phase
[/usr/lib/system/libsystem_platform.dylib] _sigtramp (no debug info)
[<unknown binary>] (no debug info)
[/Users/samuelgrant/Documents/gm2/EDM/CMacros/./BlindedEDMSimFitter.exe] Run(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, bool, bool) (no debug info)
[/Users/samuelgrant/Documents/gm2/EDM/CMacros/./BlindedEDMSimFitter.exe] main (no debug info)
[/usr/lib/system/libdyld.dylib] start (no debug info)
[<unknown binary>] (no debug info)
UNBLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.25261, 0.149653, 0.0121979, -0.0154116, 0.0122528, -0.164645, 0.00866663
S12_, 1.43167, 0.136776, 0.0123576, -0.0259432, 0.0123968, -0.40889, 0.00877176
S18_, 1.19422, 0.105453, 0.0124469, -0.011103, 0.0124881, -0.306076, 0.00883468
S12S18_, 1.52893, 0.121146, 0.00876979, -0.0184699, 0.00879819, -0.357888, 0.00622484
S0S12S18_, 1.14631, 0.130763, 0.00712072, -0.0177033, 0.00714683, -0.292214, 0.005056
BLINDED
,chi2ndf, A_EDM [mrad],, A_{g-2} [mrad],, c [mrad]
Station, value, value, error, value, error, value, error
S0_, 1.25262, 0.178396, 0.0121979, -0.0154029, 0.0122528, -0.164645, 0.00866663
S12_, 1.43165, 0.165518, 0.0123576, -0.0259346, 0.0123968, -0.40889, 0.00877176
S18_, 1.19422, 0.134195, 0.0124469, -0.0110943, 0.0124881, -0.306076, 0.00883468
S12S18_, 1.52891, 0.149888, 0.00876979, -0.0184611, 0.00879819, -0.357887, 0.00622484
S0S12S18_, 1.14631, 0.159505, 0.00712072, -0.0176944, 0.00714684, -0.292214, 0.005056
